web-scraper-order,web-scraper-start-url,songs,songs-href,lyrics
"1684637673-1","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Ah, ah, ah, ah
Ah, ah, ah, ah
Ah, ah, ah, ah"
"1684637673-2","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Quero, te abraçar apertado
Te quero, te apertar no meu corpo
Te quero, te falar deste amor
E beijar você pela vida inteira"
"1684637673-3","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Quero, este fogo me queima
Te quero, cada hora que passa
Te espero, de repente o que importa
É que somos dois, dois apaixonados"
"1684637673-4","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Somos dois, dois apaixonados
Neste amor, doce, limpo e claro
E nós dois, vamos pouco à pouco
Descobrindo todo o amor do mundo"
"1684637673-5","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Somos dois, dois apaixonados
Eu, você, é maravilhoso
Encontrar a felicidade
Que nós dois achamos um no outro"
"1684637673-6","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Ah, ah, ah, ah
Ah, ah, ah, ah
Ah, ah, ah, ah"
"1684637673-7","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Quero, te abraçar apertado
Te quero, te apertar no meu corpo
Te quero, te falar deste amor
E beijar você pela vida inteira"
"1684637673-8","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Somos dois, dois apaixonados
Neste amor, doce, limpo e claro
E nós dois, vamos pouco à pouco
Descobrindo todo o amor do mundo"
"1684637673-9","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Somos dois, dois apaixonados
Eu, você, é maravilhoso
Encontrar a felicidade
Que nós dois achamos um no outro"
"1684637673-10","https://www.letras.com/luis-miguel/mais_acessadas.html","Um Mais Um, Dois Apaixonados","https://www.letras.com/luis-miguel/1157820/","Ah, ah, ah, ah
Ah, ah, ah, ah
Ah, ah, ah, ah"
